id,file_path,status,error,cid,created_at,updated_at
74,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/PHOTO_MANIFEST.txt,Success,"",bafkreif5lcooaurjryuoldb53kuze64cvtv7fyhatsycw5ur7uhzm7eusy,2026-04-07 16:06:28.572399,2026-04-07 16:06:29.581433
75,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/documents/far_microfilm_p102_ishigo.jpg,Success,"",bafkreihbkhn4vi6rxkdji5fj5sibujfug6nkkwninsnkmuc636j3mt47v4,2026-04-07 16:06:29.40651,2026-04-07 16:06:30.5956
76,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/documents/05_wra_form26_authentication_records.md,Success,"",bafkreigpt67p3z6nseskrytsbixdiyj6s7hb7qsnyens4ontblfajkpq5q,2026-04-07 16:06:32.407558,2026-04-07 16:06:33.611374
77,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/documents/far_microfilm_p29_emi.jpg,Success,"",bafkreigsmqmjwtctnhvk5emup6k2ypeztnnohgare7rniayki6molo4eca,2026-04-07 16:06:33.089832,2026-04-07 16:06:34.225735
78,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/documents/far_microfilm_p282_okumoto_okuno.jpg,Success,"",bafkreianomjljfvksgzlrs54ls5ne6rgusullmjvts5h2j2srtthoiacby,2026-04-07 16:06:34.391205,2026-04-07 16:06:35.612542
79,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/videos/VIDEO_MANIFEST.txt,Success,"",bafkreih7octp3hfjg6s7ldjlamzzb52kvqcpqs3h6pljmuep7aofs7wsiy,2026-04-07 16:06:37.108899,2026-04-07 16:06:38.247555
80,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/13_albers_birds_eye_construction.jpg,Success,"",bafkreiaujfkly3hmww3hlc5qajeareoidn7wsymfk5rs4iemtx42aftahy,2026-04-07 16:06:38.630754,2026-04-07 16:06:39.796968
81,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/documents/DOCUMENT_MANIFEST.txt,Success,"",bafkreiag7e7keo7njrws4bqg7f66ouwpnaxx2lfr4vyz7epcv3f4qcpzym,2026-04-07 16:06:39.158603,2026-04-07 16:06:40.817354
82,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/illustrations/ishigo_at_home_at_heart_mountain.jpg,Success,"",bafkreifowlqfcmnbzbczexfazo4pcuws3h26i2dwaplnigkystzorgyfy4,2026-04-07 16:06:40.057788,2026-04-07 16:06:41.733777
83,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/illustrations/ishigo_a_baseball_game.jpg,Success,"",bafkreifyc7odoszc6icm6mgs7idakrcaazyi325sosw7usrtsa74g3bkgy,2026-04-07 16:06:40.297269,2026-04-07 16:06:41.794089
85,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/illustrations/ishigo_boarding_truck_leave.jpg,Success,"",bafkreihjetq5shj5caajyx44umgfxm7oqu563jtm6waoegp66vfptgcaei,2026-04-07 16:06:41.121271,2026-04-07 16:06:42.330187
86,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/illustrations/ishigo_boys_with_kite.jpg,Success,"",bafkreihtq2vbbu2tzct2ov5q54gwxevxvmsvovk4elmxqi6vf7cdwtewn4,2026-04-07 16:06:41.147398,2026-04-07 16:06:42.730511
84,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/videos/bitter_memories_tule_lake.mp4,Success,"",bafkreiclks3s2ycbuvkj4zkmzy52m2tyv3iurxjgoflsd6wf4lzjxjrs5q,2026-04-07 16:06:40.774831,2026-04-07 16:06:45.743
108,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/photos/16_highsmith_heart_mountain_landscape.jpg,Success,"",bafkreigtaiarfe7vg5txwpotjxfmi75tgrvh3bct5wgkxzlc6fu5w3oysu,2026-04-07 16:07:01.369621,2026-04-07 16:07:02.316822
87,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/illustrations/ishigo_bus.jpg,Success,"",bafkreia4ingvydgnxwatjefjpxuwlhs47iso25tviaz6avstabaas664y4,2026-04-07 16:06:41.349935,2026-04-07 16:06:42.921882
88,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/illustrations/ishigo_the_block_meetings.jpg,Success,"",bafkreifvt3bozxc276ytzfkmqjytysvkoaxqwi4i2hk2e5xt3ewkgepshi,2026-04-07 16:06:41.943663,2026-04-07 16:06:43.301179
89,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/photos/15_highsmith_guard_tower.jpg,Success,"",bafkreigjvwmydsjrchvbcqvvx6wdokstaiz7xr3f2cilvqkunjs6uplgba,2026-04-07 16:06:42.149397,2026-04-07 16:06:43.311261
90,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/photos/17_hosokawa_high_school_barracks.jpg,Success,"",bafkreidcdm7lvrpraqnxlca4pi4my23rvnopaydfhcywcq4qn67mggzoau,2026-04-07 16:06:42.6356,2026-04-07 16:06:44.041746
